time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,time/episodes,rollout/exploration_rate
77,,4123,53,,,0.001,,2011,0.014978173188865185,,,,,589,0.05
77,,4130,53,,,0.001,,2014,0.00921651441603899,,,,,590,0.05
77,,4137,53,,,0.001,,2018,0.018687427043914795,,,,,591,0.05
78,,4144,53,,,0.001,,2021,0.027592049911618233,,,,,592,0.05
0,,7,997,,,0.001,,2023,0.019025640562176704,,,,,1,0.9934392265193367
0,,14,1103,,,,,,,,,,,2,0.9868784530386743
0,,21,1118,,,,,,,,,,,3,0.980317679558011
0,,28,1149,,,,,,,,,,,4,0.9737569060773477
0,,35,1162,,,,,,,,,,,5,0.9671961325966854
0,,42,1153,,,,,,,,,,,6,0.9606353591160219
0,,49,1156,,,,,,,,,,,7,0.9540745856353596
0,,56,1167,,,,,,,,,,,8,0.9475138121546963
0,,63,1176,,,,,,,,,,,9,0.9409530386740329
0,,70,1184,,,,,,,,,,,10,0.9343922651933706
0,,77,1184,,,,,,,,,,,11,0.9278314917127073
0,,84,1184,,,,,,,,,,,12,0.9212707182320439
0,,91,1189,,,,,,,,,,,13,0.9147099447513816
0,,98,1180,,,,,,,,,,,14,0.9081491712707181
0,,105,692,,,0.001,,2,0.09926307201385498,,,,,15,0.9015883977900548
0,,112,457,,,0.001,,5,0.06859619170427322,,,,,16,0.8950276243093925
0,,119,321,,,0.001,,9,0.06088510528206825,,,,,17,0.8884668508287292
0,,126,232,,,0.001,,12,0.047024164348840714,,,,,18,0.8819060773480658
0,,133,169,,,0.001,,16,0.04278774559497833,,,,,19,0.8753453038674035
0,,140,155,,,0.001,,19,0.07463330030441284,,,,,20,0.8687845303867402
1,,147,131,,,0.001,,23,0.06485973298549652,,,,,21,0.8622237569060779
1,,154,110,,,0.001,,26,0.035671260207891464,,,,,22,0.8556629834254145
1,,161,105,,,0.001,,30,0.0344003327190876,,,,,23,0.8491022099447512
1,,168,104,,,0.001,,33,0.03735606372356415,,,,,24,0.8425414364640889
1,,175,103,,,0.001,,37,0.04174499586224556,,,,,25,0.8359806629834254
1,,182,103,,,0.001,,40,0.046786125749349594,,,,,26,0.829419889502762
1,,189,101,,,0.001,,44,0.0370665043592453,,,,,27,0.8228591160220998
1,,196,101,,,0.001,,47,0.031446006149053574,,,,,28,0.8162983425414364
2,,203,99,,,0.001,,51,0.050296492874622345,,,,,29,0.8097375690607731
2,,210,98,,,0.001,,54,0.04237015172839165,,,,,30,0.8031767955801108
2,,217,93,,,0.001,,58,0.023744579404592514,,,,,31,0.7966160220994474
2,,224,93,,,0.001,,61,0.042597293853759766,,,,,32,0.7900552486187851
2,,231,92,,,0.001,,65,0.0316522978246212,,,,,33,0.7834944751381216
2,,238,92,,,0.001,,68,0.03872321918606758,,,,,34,0.7769337016574583
2,,245,91,,,0.001,,72,0.03071502223610878,,,,,35,0.770372928176796
2,,252,91,,,0.001,,75,0.025639567524194717,,,,,36,0.7638121546961327
2,,259,86,,,0.001,,79,0.04561761021614075,,,,,37,0.7572513812154693
3,,266,87,,,0.001,,82,0.014861487783491611,,,,,38,0.750690607734807
3,,273,83,,,0.001,,86,0.03715222328901291,,,,,39,0.7441298342541437
3,,280,82,,,0.001,,89,0.022829694673419,,,,,40,0.7375690607734804
3,,287,81,,,0.001,,93,0.02945571020245552,,,,,41,0.7310082872928181
3,,294,82,,,0.001,,96,0.03231210261583328,,,,,42,0.7244475138121547
3,,301,81,,,0.001,,100,0.02376052550971508,,,,,43,0.7178867403314912
3,,308,81,,,0.001,,103,0.021281685680150986,,,,,44,0.7113259668508289
3,,315,81,,,0.001,,107,0.02051212266087532,,,,,45,0.7047651933701656
3,,322,82,,,0.001,,110,0.030730856582522392,,,,,46,0.6982044198895022
4,,329,81,,,0.001,,114,0.02623080089688301,,,,,47,0.69164364640884
4,,336,82,,,0.001,,117,0.020137298852205276,,,,,48,0.6850828729281766
4,,343,82,,,0.001,,121,0.04090070724487305,,,,,49,0.6785220994475143
4,,350,82,,,0.001,,124,0.04154064506292343,,,,,50,0.6719613259668509
4,,357,82,,,0.001,,128,0.0370837077498436,,,,,51,0.6654005524861876
4,,364,83,,,0.001,,131,0.02992909774184227,,,,,52,0.6588397790055252
4,,371,82,,,0.001,,135,0.030048996210098267,,,,,53,0.652279005524862
4,,378,83,,,0.001,,138,0.03490300849080086,,,,,54,0.6457182320441985
4,,385,83,,,0.001,,142,0.025998828932642937,,,,,55,0.6391574585635362
4,,392,83,,,0.001,,145,0.03480220586061478,,,,,56,0.6325966850828728
4,,399,83,,,0.001,,149,0.017968598753213882,,,,,57,0.6260359116022105
4,,406,83,,,0.001,,152,0.026873311027884483,,,,,58,0.6194751381215472
4,,413,83,,,0.001,,156,0.03477694094181061,,,,,59,0.6129143646408838
5,,420,83,,,0.001,,159,0.02963746339082718,,,,,60,0.6063535911602216
5,,427,83,,,0.001,,163,0.022198386490345,,,,,61,0.5997928176795582
5,,434,83,,,0.001,,166,0.026729125529527664,,,,,62,0.5932320441988947
5,,441,82,,,0.001,,170,0.030598407611250877,,,,,63,0.5866712707182324
5,,448,83,,,0.001,,173,0.032013893127441406,,,,,64,0.5801104972375691
5,,455,83,,,0.001,,177,0.046101104468107224,,,,,65,0.5735497237569058
5,,462,83,,,0.001,,180,0.030643489211797714,,,,,66,0.5669889502762434
5,,469,83,,,0.001,,184,0.028083110228180885,,,,,67,0.5604281767955801
5,,476,83,,,0.001,,187,0.03192580118775368,,,,,68,0.5538674033149167
5,,483,83,,,0.001,,191,0.03704497963190079,,,,,69,0.5473066298342544
5,,490,83,,,0.001,,194,0.0351778045296669,,,,,70,0.540745856353591
5,,497,83,,,0.001,,198,0.028198493644595146,,,,,71,0.5341850828729278
6,,504,83,,,0.001,,201,0.03802870959043503,,,,,72,0.5276243093922655
6,,511,83,,,0.001,,205,0.04218319058418274,,,,,73,0.521063535911602
