time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_loss
32512,54,595,127,126,-0.02639274299144745,0.001,8.96453857421875e-05,48.20372009277344,3.123448371887207
32768,55,594,128,127,-0.031505290418863297,0.001,5.793571472167969e-05,43.43330383300781,-1.6097254753112793
33024,55,595,129,128,-0.03304924815893173,0.001,-2.586841583251953e-05,64.38723754882812,-15.870674133300781
33280,55,596,130,129,-0.010853899642825127,0.001,0.00022870302200317383,31.17770004272461,-1.0523393154144287
33536,56,595,131,130,-0.01621285080909729,0.001,2.104043960571289e-05,36.84990310668945,1.2083842754364014
33792,56,594,132,131,-0.010896201245486736,0.001,0.0002510547637939453,21.790908813476562,0.004559789784252644
34048,57,595,133,132,-0.019494391977787018,0.001,0.00010728836059570312,47.42830276489258,-0.4037160873413086
34304,57,595,134,133,-0.030573483556509018,0.001,0.0001506805419921875,45.05893325805664,3.932814598083496
34560,58,595,135,134,-0.02390556037425995,0.001,0.00020515918731689453,21.77953338623047,-0.19454023241996765
34816,58,596,136,135,-0.016810094937682152,0.001,0.00041741132736206055,25.504457473754883,1.0230052471160889
35072,58,596,137,136,-0.01805945113301277,0.001,0.0005387067794799805,16.385896682739258,-5.3681111335754395
35328,59,596,138,137,-0.023730453103780746,0.001,0.00010639429092407227,42.72990036010742,-0.8170127272605896
35584,59,596,139,138,-0.03291323035955429,0.001,0.00034940242767333984,50.700531005859375,0.4203640818595886
35840,60,596,140,139,-0.01018452923744917,0.001,3.5881996154785156e-05,23.11201286315918,0.2452300488948822
36096,60,595,141,140,-0.017679177224636078,0.001,-2.8252601623535156e-05,45.93366622924805,0.15194761753082275
36352,61,595,142,141,-0.01994192600250244,0.001,0.00013953447341918945,55.969058990478516,0.43844425678253174
36608,61,595,143,142,-0.018697237595915794,0.001,-2.6941299438476562e-05,43.887855529785156,0.0317378044128418
36864,61,595,144,143,-0.020836547017097473,0.001,-3.147125244140625e-05,36.26661682128906,-7.578029632568359
37120,62,595,145,144,-0.011087113060057163,0.001,8.7738037109375e-05,40.92631149291992,-0.13928638398647308
37376,62,594,146,145,-0.022470414638519287,0.001,0.00021797418594360352,17.62605857849121,-1.5607110261917114
37632,63,594,147,146,-0.015580800361931324,0.001,3.814697265625e-06,39.855491638183594,-0.026841163635253906
37888,63,594,148,147,-0.008838624693453312,0.001,-4.57763671875e-05,49.37548065185547,1.2780686616897583
38144,64,593,149,148,-0.006751486100256443,0.001,-0.00015234947204589844,65.45121002197266,0.0016991980373859406
38400,64,593,150,149,-0.018567150458693504,0.001,0.00016820430755615234,70.21321868896484,0.13664023578166962
38656,65,593,151,150,-0.006441306322813034,0.001,-1.430511474609375e-06,45.068199157714844,0.30997729301452637
