time/fps,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
124,2653,21,379,0.05,0.001,0.02829892747104168,1276
125,2660,21,380,0.05,0.001,0.034472011029720306,1279
125,2667,21,381,0.05,0.001,0.020555047318339348,1283
125,2674,21,382,0.05,0.001,0.027620382606983185,1286
125,2681,21,383,0.05,0.001,0.019526688382029533,1290
125,2688,21,384,0.05,0.001,0.02096996083855629,1293
125,2695,21,385,0.05,0.001,0.018336517736315727,1297
125,2702,21,386,0.05,0.001,0.030059020966291428,1300
125,2709,21,387,0.05,0.001,0.04163898155093193,1304
125,2716,21,388,0.05,0.001,0.015131286345422268,1307
125,2723,21,389,0.05,0.001,0.029331039637327194,1311
125,2730,21,390,0.05,0.001,0.017472052946686745,1314
125,2737,21,391,0.05,0.001,0.027248535305261612,1318
125,2744,21,392,0.05,0.001,0.025310790166258812,1321
125,2751,21,393,0.05,0.001,0.028783975169062614,1325
125,2758,21,394,0.05,0.001,0.023389054462313652,1328
125,2765,22,395,0.05,0.001,0.0242491252720356,1332
125,2772,22,396,0.05,0.001,0.02573416940867901,1335
125,2779,22,397,0.05,0.001,0.016488682478666306,1339
125,2786,22,398,0.05,0.001,0.010665985755622387,1342
125,2793,22,399,0.05,0.001,0.02848985604941845,1346
125,2800,22,400,0.05,0.001,0.03394343703985214,1349
126,2807,22,401,0.05,0.001,0.030115453526377678,1353
126,2814,22,402,0.05,0.001,0.01355357188731432,1356
126,2821,22,403,0.05,0.001,0.013657729141414165,1360
126,2828,22,404,0.05,0.001,0.028261004015803337,1363
126,2835,22,405,0.05,0.001,0.019298020750284195,1367
126,2842,22,406,0.05,0.001,0.02326706424355507,1370
126,2849,22,407,0.05,0.001,0.026899177581071854,1374
126,2856,22,408,0.05,0.001,0.02012157253921032,1377
126,2863,22,409,0.05,0.001,0.024661503732204437,1381
126,2870,22,410,0.05,0.001,0.021398968994617462,1384
126,2877,22,411,0.05,0.001,0.025295602157711983,1388
126,2884,22,412,0.05,0.001,0.036522649228572845,1391
126,2891,22,413,0.05,0.001,0.022477541118860245,1395
126,2898,22,414,0.05,0.001,0.01987084001302719,1398
126,2905,22,415,0.05,0.001,0.03036675788462162,1402
126,2912,22,416,0.05,0.001,0.033794745802879333,1405
126,2919,23,417,0.05,0.001,0.0343339741230011,1409
126,2926,23,418,0.05,0.001,0.04478882625699043,1412
126,2933,23,419,0.05,0.001,0.03508926182985306,1416
126,2940,23,420,0.05,0.001,0.02760004624724388,1419
126,2947,23,421,0.05,0.001,0.02713208831846714,1423
126,2954,23,422,0.05,0.001,0.028100881725549698,1426
126,2961,23,423,0.05,0.001,0.02405015379190445,1430
126,2968,23,424,0.05,0.001,0.017478659749031067,1433
126,2975,23,425,0.05,0.001,0.025233611464500427,1437
126,2982,23,426,0.05,0.001,0.0098565723747015,1440
126,2989,23,427,0.05,0.001,0.02461874671280384,1444
126,2996,23,428,0.05,0.001,0.025270866230130196,1447
127,3003,23,429,0.05,0.001,0.03775982931256294,1451
127,3010,23,430,0.05,0.001,0.04021184518933296,1454
127,3017,23,431,0.05,0.001,0.01154465600848198,1458
127,3024,23,432,0.05,0.001,0.018688682466745377,1461
127,3031,23,433,0.05,0.001,0.030254770070314407,1465
127,3038,23,434,0.05,0.001,0.009474544785916805,1468
127,3045,23,435,0.05,0.001,0.011006737127900124,1472
127,3052,23,436,0.05,0.001,0.0130285220220685,1475
127,3059,24,437,0.05,0.001,0.020726241171360016,1479
127,3066,24,438,0.05,0.001,0.02803008258342743,1482
127,3073,24,439,0.05,0.001,0.014774149283766747,1486
127,3080,24,440,0.05,0.001,0.026949269697070122,1489
127,3087,24,441,0.05,0.001,0.02550763450562954,1493
127,3094,24,442,0.05,0.001,0.021663406863808632,1496
127,3101,24,443,0.05,0.001,0.01829727552831173,1500
127,3108,24,444,0.05,0.001,0.022406654432415962,1503
127,3115,24,445,0.05,0.001,0.02143612876534462,1507
127,3122,24,446,0.05,0.001,0.026091288775205612,1510
127,3129,24,447,0.05,0.001,0.025706306099891663,1514
127,3136,24,448,0.05,0.001,0.02472144179046154,1517
127,3143,24,449,0.05,0.001,0.03872790187597275,1521
127,3150,24,450,0.05,0.001,0.016313720494508743,1524
127,3157,24,451,0.05,0.001,0.023892443627119064,1528
128,3164,24,452,0.05,0.001,0.03272371366620064,1531
128,3171,24,453,0.05,0.001,0.03263303264975548,1535
128,3178,24,454,0.05,0.001,0.01816447451710701,1538
128,3185,24,455,0.05,0.001,0.008674810640513897,1542
128,3192,24,456,0.05,0.001,0.017548056319355965,1545
128,3199,24,457,0.05,0.001,0.01795700564980507,1549
128,3206,24,458,0.05,0.001,0.023881150409579277,1552
128,3213,25,459,0.05,0.001,0.019185669720172882,1556
128,3220,25,460,0.05,0.001,0.014075377956032753,1559
128,3227,25,461,0.05,0.001,0.010982785373926163,1563
128,3234,25,462,0.05,0.001,0.03747672587633133,1566
128,3241,25,463,0.05,0.001,0.02801879495382309,1570
128,3248,25,464,0.05,0.001,0.021026847884058952,1573
128,3255,25,465,0.05,0.001,0.031173506751656532,1577
128,3262,25,466,0.05,0.001,0.021649161353707314,1580
128,3269,25,467,0.05,0.001,0.01855780929327011,1584
